885	7001	1	2	0
785	420713	2	1	0
685	270511	3	1	0
585	220312	1	1	0
68	307	1	1	0
58	214	0	1	0
48	204	0	1	0
38	134	0	1	0
28	124	3	1	0
18	114	1	1	0
564	210213	1	1	0
664	260412	1	1	0
474	140413	1	1	0
508	0	3	0	0
408	110111	1	1	0
174	498	3	1	0
208	2101	3	1	0
98	422	1	1	0
88	412	0	1	0
78	402	0	1	0
373	90213	1	1	0
473	140412	1	1	0
173	497	3	0	0
273	30712	2	1	0
908	7024	3	1	0
808	440312	1	1	0
708	280612	2	1	0
496	0	3	0	0
396	100411	2	1	0
296	50212	1	1	0
196	520	3	0	0
907	7023	2	1	0
707	280611	3	1	0
807	440311	2	1	0
57	213	0	1	0
67	306	0	2	0
37	133	1	1	0
47	203	2	1	0
17	113	1	1	0
27	123	3	1	0
894	7010	1	0	0
794	430413	1	1	0
364	80611	3	1	0
464	130713	2	1	0
164	488	1	1	0
264	30412	1	1	0
97	421	1	1	0
763	410612	2	1	0
77	401	0	1	0
87	411	0	1	0
463	130712	2	1	0
363	80513	2	1	0
263	30411	2	1	0
163	487	3	0	0
896	7012	3	0	0
796	430512	2	1	0
696	280212	1	1	0
596	220711	3	1	0
386	90711	3	1	0
486	200003	3	0	0
186	510	1	0	0
286	40512	2	1	0
665	260413	1	1	0
565	210311	2	1	0
865	470312	2	1	0
765	410711	3	1	0
265	30413	1	1	0
165	489	3	1	0
465	140111	1	1	0
319	60313	1	1	0
219	10211	2	1	0
119	443	2	1	0
919	7035	2	0	0
819	440711	3	1	0
719	290313	1	1	0
786	430211	2	1	0
886	7002	2	2	0
586	220313	1	1	0
686	270512	2	1	0
276	40211	2	1	0
176	500	3	0	0
476	140512	2	1	0
376	90313	1	1	0
795	430511	3	1	0
895	7011	2	0	0
595	220613	2	1	0
695	280211	2	1	0
395	100313	1	1	0
495	0	3	0	0
59	215	1	1	0
69	308	1	1	0
129	453	3	2	0
229	10512	2	1	0
19	115	1	1	0
29	125	2	1	0
79	403	0	1	0
89	413	0	1	0
99	423	1	1	0
829	450412	1	1	0
676	270211	2	1	0
576	210613	2	1	0
876	470711	3	1	0
776	420413	1	1	0
166	490	3	0	0
179	503	0	0	0
479	140612	2	1	0
466	140211	2	1	0
145	469	3	0	0
924	7040	1	1	0
624	240313	1	1	0
724	290512	2	1	0
545	0	3	0	0
445	120713	2	1	0
345	70611	3	1	0
245	20412	1	1	0
134	458	3	2	0
933	7049	1	1	0
633	240613	2	1	0
733	300212	1	1	0
